trade_date,symbol,turnover_rule,total_quantity,available_quantity,today_buy_quantity,raw_close,market_value,portfolio_weight
2024-01-23,SH.510300,T1,0,0,0,3.22800000,0,0E+3
2024-01-23,SH.518880,T0,92200,92200,0,4.63200000,427070.400,0.4496780143332540079048829050
2024-01-23,SH.588000,T1,543800,543800,0,0.78600000,427426.800,0.4500532809036095552067265829
2024-01-24,SH.510300,T1,0,0,0,3.27900000,0,0E+3
2024-01-24,SH.518880,T0,92400,92400,0,4.62600000,427442.400,0.4498221381428947679387101709
2024-01-24,SH.588000,T1,542700,542700,0,0.78800000,427647.600,0.4500380818647785165008112244
2024-01-25,SH.510300,T1,0,0,0,3.33500000,0,0E+3
2024-01-25,SH.518880,T0,93500,93500,0,4.60500000,430567.500,0.4499278579329131881201001054
2024-01-25,SH.588000,T1,535700,535700,0,0.80400000,430702.800,0.4500692416629400088958266746
2024-01-26,SH.510300,T1,0,0,0,3.32900000,0,0E+3
2024-01-26,SH.518880,T0,92300,92300,0,4.62500000,426887.500,0.4499994330832008148624679031
2024-01-26,SH.588000,T1,543800,535700,8100,0.78500000,426883.000,0.4499946894506304669284879174
2024-01-29,SH.510300,T1,0,0,0,3.29900000,0,0E+3
2024-01-29,SH.518880,T0,91100,91100,0,4.63400000,422157.400,0.4500474315985842496901725875
2024-01-29,SH.588000,T1,552500,543800,8700,0.76400000,422110.000,0.4499969000947949689777290435
2024-01-30,SH.510300,T1,128100,0,128100,3.24300000,415428.300,0.4505117600512515154691805133
2024-01-30,SH.518880,T0,89400,89400,0,4.64700000,415441.800,0.4505264001438034477652201281
2024-01-30,SH.588000,T1,0,0,0,0.73500000,0,0E+3
2024-01-31,SH.510300,T1,128400,128100,300,3.22200000,413704.800,0.4496987715174316450416968103
2024-01-31,SH.518880,T0,89000,89000,0,4.65300000,414117.000,0.4501468345653331567575052501
2024-01-31,SH.588000,T1,0,0,0,0.72200000,0,0E+3
2024-02-01,SH.510300,T1,128700,128400,300,3.21800000,414156.600,0.4497937507778408136655900540
2024-02-01,SH.518880,T0,88800,88800,0,4.66800000,414518.400,0.4501866827727225149505248117
2024-02-01,SH.588000,T1,0,0,0,0.72600000,0,0E+3
2024-02-02,SH.510300,T1,129500,128700,800,3.18800000,412846.000,0.4497856749676266116017188344
2024-02-02,SH.518880,T0,88300,88300,0,4.67900000,413155.700,0.4501230855845091149119435970
2024-02-02,SH.588000,T1,0,0,0,0.70700000,0,0E+3
2024-02-05,SH.510300,T1,128700,128700,0,3.20800000,412869.600,0.4501066936068253749326324691
2024-02-05,SH.518880,T0,88900,88900,0,4.64300000,412762.700,0.4499901521963011570377322429
2024-02-05,SH.588000,T1,0,0,0,0.70900000,0,0E+3
2024-02-06,SH.510300,T1,0,0,0,3.31100000,0,0E+3
2024-02-06,SH.518880,T0,90200,90200,0,4.63300000,417896.600,0.4500455236758642425674258595
2024-02-06,SH.588000,T1,552700,0,552700,0.75700000,418393.900,0.4505810811293683086158904340
2024-02-07,SH.510300,T1,0,0,0,3.34000000,0,0E+3
2024-02-07,SH.518880,T0,91100,91100,0,4.64200000,422886.200,0.4496826190902908946429806186
2024-02-07,SH.588000,T1,544800,544800,0,0.77700000,423309.600,0.4501328480666037399540639266
2024-02-08,SH.510300,T1,0,0,0,3.36200000,0,0E+3
2024-02-08,SH.518880,T0,91400,91400,0,4.66200000,426106.800,0.4498963404060266463574529298
2024-02-08,SH.588000,T1,542300,542300,0,0.78600000,426247.800,0.4500452124352860943576641465
2024-02-19,SH.510300,T1,0,0,0,3.38900000,0,0E+3
2024-02-19,SH.518880,T0,92200,92200,0,4.64400000,428176.800,0.4497812441508594080406423933
2024-02-19,SH.588000,T1,536900,536900,0,0.79800000,428446.200,0.4500642372209515791356810527
2024-02-20,SH.510300,T1,0,0,0,3.40100000,0,0E+3
2024-02-20,SH.518880,T0,91900,91900,0,4.64200000,426599.800,0.4502498610319933875003660525
2024-02-20,SH.588000,T1,539700,536900,2800,0.79000000,426363.000,0.4499999331907417600168086605
2024-02-21,SH.510300,T1,0,0,0,3.44900000,0,0E+3
2024-02-21,SH.518880,T0,91900,91900,0,4.64200000,426599.800,0.4499960514041046878477720323
2024-02-21,SH.588000,T1,539400,539400,0,0.79100000,426665.400,0.4500652491415909906250420026
2024-02-22,SH.510300,T1,0,0,0,3.47500000,0,0E+3
2024-02-22,SH.518880,T0,92300,92300,0,4.63900000,428179.700,0.4497530145421202606371068824
2024-02-22,SH.588000,T1,536200,536200,0,0.79900000,428423.800,0.4500094132243785077133263243
2024-02-23,SH.510300,T1,0,0,0,3.47800000,0,0E+3
2024-02-23,SH.518880,T0,92500,92500,0,4.63000000,428275.000,0.4497445103588066586747978164
2024-02-23,SH.588000,T1,535000,535000,0,0.80100000,428535.000,0.4500175442101715287495288827
2024-02-26,SH.510300,T1,0,0,0,3.44300000,0,0E+3
2024-02-26,SH.518880,T0,92500,92500,0,4.65100000,430217.500,0.4496069461234376864696912231
2024-02-26,SH.588000,T1,534300,534300,0,0.80600000,430645.800,0.4500545491498712191853872809
2024-02-27,SH.510300,T1,0,0,0,3.48400000,0,0E+3
2024-02-27,SH.518880,T0,94100,94100,0,4.64600000,437188.600,0.4495902900872297218061626808
2024-02-27,SH.588000,T1,523500,523500,0,0.83600000,437646.000,0.4500606651123010500035450893
2024-02-28,SH.510300,T1,0,0,0,3.44800000,0,0E+3
2024-02-28,SH.518880,T0,92800,92800,0,4.64500000,431056.000,0.4501233258091471042012087522
2024-02-28,SH.588000,T1,533300,523500,9800,0.80800000,430906.400,0.4499671084045847076522951521
2024-02-29,SH.510300,T1,0,0,0,3.50300000,0,0E+3
2024-02-29,SH.518880,T0,94700,94700,0,4.64700000,440070.900,0.4496966229364036222401830729
2024-02-29,SH.588000,T1,520000,520000,0,0.84700000,440440.000,0.4500737963044355156850094669
2024-03-01,SH.510300,T1,0,0,0,3.53000000,0,0E+3
2024-03-01,SH.518880,T0,94900,94900,0,4.66700000,442898.300,0.4498088144735492074968957030
2024-03-01,SH.588000,T1,518300,518300,0,0.85500000,443146.500,0.4500608871226253834797358483
2024-03-04,SH.510300,T1,0,0,0,3.52700000,0,0E+3
2024-03-04,SH.518880,T0,94400,94400,0,4.72500000,446040.000,0.4502519384903522499061303849
2024-03-04,SH.588000,T1,520700,518300,2400,0.85600000,445719.200,0.4499281091883441228283573452
2024-03-05,SH.510300,T1,0,0,0,3.55600000,0,0E+3
2024-03-05,SH.518880,T0,93800,93800,0,4.78900000,449208.200,0.4504726885490470774215462934
2024-03-05,SH.588000,T1,523600,520700,2900,0.85700000,448725.200,0.4499883289390284051479889388
2024-03-06,SH.510300,T1,0,0,0,3.54200000,0,0E+3
2024-03-06,SH.518880,T0,93000,93000,0,4.82400000,448632.000,0.4500748616935636303187301735
2024-03-06,SH.588000,T1,527800,523600,4200,0.85000000,448630.000,0.4500728552612908831066261830
2024-03-07,SH.510300,T1,126800,0,126800,3.52300000,446716.400,0.4503597191553031329745310957
2024-03-07,SH.518880,T0,91500,91500,0,4.88500000,446977.500,0.4506229486285695043189000288
2024-03-07,SH.588000,T1,0,0,0,0.83200000,0,0E+3
2024-03-08,SH.510300,T1,0,0,0,3.53300000,0,0E+3
2024-03-08,SH.518880,T0,91500,91500,0,4.88100000,446611.500,0.4503227098740362345187493108
2024-03-08,SH.588000,T1,531300,0,531300,0.84100000,446823.300,0.4505362698695834178637170760
2024-03-11,SH.510300,T1,125900,0,125900,3.58100000,450847.900,0.4504671611012327881363720451
2024-03-11,SH.518880,T0,92000,92000,0,4.89900000,450708.000,0.4503273792461147705808721117
2024-03-11,SH.588000,T1,0,0,0,0.85700000,0,0E+3
2024-03-12,SH.510300,T1,125500,125500,0,3.58600000,450043.000,0.4502124559164948654188898814
2024-03-12,SH.518880,T0,92100,92100,0,4.87900000,449355.900,0.4495250972008605290954067492
2024-03-12,SH.588000,T1,0,0,0,0.85600000,0,0E+3
2024-03-13,SH.510300,T1,125700,125500,200,3.56500000,448120.500,0.4498507117589107165678668805
2024-03-13,SH.518880,T0,92100,92100,0,4.87000000,448527.000,0.4502587812722001045924826655
2024-03-13,SH.588000,T1,0,0,0,0.85300000,0,0E+3
2024-03-14,SH.510300,T1,0,0,0,3.55200000,0,0E+3
2024-03-14,SH.518880,T0,91900,91900,0,4.87700000,448196.300,0.4508531233535476538987066102
2024-03-14,SH.588000,T1,531900,0,531900,0.84200000,447859.800,0.4505146286448486557464752893
2024-03-15,SH.510300,T1,0,0,0,3.56100000,0,0E+3
2024-03-15,SH.518880,T0,91800,91800,0,4.89900000,449728.200,0.4502789271502188897196382952
2024-03-15,SH.588000,T1,530700,530700,0,0.84700000,449502.900,0.4500533512528503361891862699
